ID,Nome,Telem�vel,Refer�ncia,Fam�lia de,Nacionalidade,Pedidos,Notas,Telemovel,Referencia
79,Randal Murazik,911598429,"Colega ",2,"Brasileiros ",,,+18747126014,Ismael Ritchie
80,Wendell Abernathy,937331431,amigo,3,brasileiro,,,+17567196803,Candice Kunze
81,Sarah Morissette,920486990,Prof. Ana AS,3,,,Columbianos,+16354491429,Drew Hyatt
82,Colin Robel PhD,920486990,escola sampaio,3,"colombianos ",,,+14619811666,Ramon Schaden
83,Irene Mayer,912011605,amigo,4,"Argentina ",,,+15534453661,Perry Leuschke-Willms IV
84,Kari Fisher,935997529,"Amiga elisandra ",6,"Cabo verdiana ",,,+15133384476,Nancy Lebsack
85,Anna Dach,920480420,Amiga,4,Nepal,,,+13103781496,Mr. Salvatore Lynch
86,Tracy Hartmann,910227255,escola sampaio,3,colombianos,,,+16443793918,Malcolm Hahn
87,Leticia Hilll Sr.,9868864827,,3,"Cubana ",,,+12163490998,Pablo Pfeffer
88,Sally McKenzie,915258599,Amiga,3,Portuguesa,,Girl 2 Boy 11,+15767323361,Darlene Wilkinson
89,Lucas Grant,932409663,Adriana,4,Brasileiro,,,+15842829730,Judith Olson
90,Rufus Shields,914417132,"Sobrinha tamara ",2,"Brasileira ",,,+14629154507,Mrs. Miranda Langosh
91,Lila Krajcik,93789991,amigos,3,"brasileiro ",,,+17956985662,Claire Wisozk-Bogan
92,Josefina Langworth,912225441,VaP   K37,,,,Avisados,+14359070096,Johnathan Fay
93,Otis Dietrich,930531090,amigo,1,"portuguesa ",,,+15719766517,Helen Oberbrunner
94,Inez Kuphal Sr.,04129437055,Amiga,2,Espanhola,,,+13276589450,Joy Jerde
95,Mr. Rick Ziemann DDS,921461709,"Carla ",,,,,+15982085156,Doyle Hoeger III
96,Carolyn Mosciski-Parker,913715096,,4,Colombiano,,,+16982520418,Louise Hickle
97,Ana Abernathy IV,935579765,amiga,4,,,,+18683799993,Mr. Julio Konopelski
98,Steven Reynolds PhD,935923927,Amiga Ladi,2,Columbiana,,Roupa gravida,+19132403822,Lawrence Kovacek
99,Randall Koelpin,933822623,amiga,3,brasileira,,,+16399994720,Kristin Hintz
100,Dr. Jenna Walker,964669355,amigo,,,,,+14805757241,Mr. Lawrence Ziemann
101,Tony Sporer,912357341,Colega,1,Brasileiro,,,+19065949289,Susie Upton II
102,Guadalupe Bruen,937094457,amigo,,,,,+18128124692,Gina Jerde
103,Katrina Nikolaus-Brekke,927115263,"Fam�lia ",5,Brasileiros,,,+19996251502,Malcolm Leannon
104,Nathan Hayes,938670704,ucranian chat,,Ucraniana,,,+15802317233,Garrett Pollich Jr.
105,Emilio Schaden,922296499,"Amiga samara ",3," Brasileiros",-5,,+17822771150,Dorothy O'Connell
106,Bob Deckow,914229802,,,,,,+14917477445,Teresa Halvorson
107,Mr. Pedro Oberbrunner,965344761,amiga,2,Brasileiros,,,+19405406445,Mr. Doug Romaguera
108,Sheila Abernathy,914060655,amigas,2,"colombiana ",,,+14903393266,Natasha Quitzon-Schimmel
109,Mr. Andy Cummings,935579714,Facebook,2,Brasileiro,,,+14758929359,Miss Tanya Boyle
110,Santiago Kunde,925269165,,,,,,+15788101648,Dianne Hackett
111,Elsie Kris,937922461,Janaina (igreja),4,brasileira,,ber�o e carrinho,+19887513749,Darnell Kertzmann
112,Noel Buckridge,926249072,,,,,,+16204400208,Julius Davis
113,Stephen Rohan,,"Igreja S. L�zaro ",,Portuguesa,2 filhos grandes,Vive na rua,+17725976367,Jeanette Barton
114,William Bashirian,912081435,Amigo,4,Brasileira,,,+13095358206,Jasmine Herman
115,Kate Fahey,962012690,amigo,1,colombiano,,,+18695308054,Bert Stanton
116,Benjamin Hand-Breitenberg,933139851,Amiga Adriana,,,,,+13668963183,Crystal Schuppe
117,Dianna Pfeffer,914053740," Colega de trabalho ",5,"Brasileira ",,,+12232130497,Dr. George Botsford
118,Paul Bode,,amiga,1,"s�o Tom� ",,,+14625948161,Dr. Eddie Abernathy
119,Ramon Wehner PhD,,Amiga,3,Brasileiro,,,+19187788851,Claude Pacocha V
120,Cindy Christiansen DDS,920966577,professora Ana,,,,,+14284836115,Marion King
121,Beverly Nitzsche,,VAP,1,Guatemala,,,+19002373574,Rosa Conroy
122,Maxine Hahn,931922697,amigo,3,"colombiano ",,menino 1 ano,+13867239673,Elbert Bruen DDS
123,Carlton Satterfield,912729185,amigas,4,brasileira,,,+19738204136,George Kihn
124,Dallas Renner,910476644,Igreja Janaina,1,Brasileira,,,+15372677102,Terrance Metz
125,Lora Spinka,932274981,grupo,5,,,,+15059880530,Allison Lockman
126,Nicholas Pollich,920577853,"Grupo ucraniano ",3,ucraniano,,,+14737535747,Elias Durgan
127,Miguel Hand,964126497,Palmira,3,"Portugu�s ",,,+12975260392,Megan D'Amore
128,Jermaine Fay,934393959,"Sogra ",4,Cabo verdiana,,,+13259355191,Marian Hayes
129,Clinton Fahey II,938854133,Junta de Freguesia,3,Brasileiro,,,+12796471226,Chris McKenzie
130,Abraham Harvey,912344256,amiga,3,brasileira,,,+12602619047,Wayne Reinger
131,Donnie Hirthe,961659597,"Carla associa��o ",2,"Brasileira ",,,+18427419299,Mr. Manuel Aufderhar
132,Holly Mohr,929343341,Colega,2,Angolano,,,+12995954969,Dr. Deborah Dibbert
133,Tiffany Fadel,931391767,amigos,1,brasileiro,,,+18053479581,Jimmy Labadie PhD
134,Jacqueline Donnelly-Schultz,914139394,Amiga,3,Brasileira,,,+15187484722,Dianne Schaden II
135,Teri Morar,937874448,amigos,,Argentinos,,,+18592845121,Rosalie Keebler
136,Noel King,934239236,prima,3,"angolana e portuguesa ",,"menino 1 ano ",+18003606935,Joyce Hoeger
137,Jackie Jast,912287782,,,"Brasileiro ",,,+15526846352,Elijah Okuneva
138,Kellie Donnelly,933420983,,,Columbiana,,,+17006779155,Marco Stracke
139,Ida Daugherty,912171322,amigo,2,"brasileiro ",,,+16228426972,Bennie Kling
140,Lola Krajcik,920491438,amiga,3,brasileira,,,+13296172402,Paul Monahan
141,Roberto Hartmann MD,932729740,amigo,3,Angolana,,girl 10 boy 1,+14433600683,Lee Trantow-Rosenbaum II
142,Kara Pollich,966947940,amiga,3,Brasileiro,,beb�,+17359316454,Dr. Earnest Reilly
143,Kurt Kuhn,912753793,Wiliane,3,Haitiana,,menino 2 anos,+13032087024,Warren Cruickshank
144,Juana Skiles,920130195,"irm� ",5,"Guin� ",,meninos 3 anos e 1 ano,+14557144321,Lucille Bechtelar
145,Misty Kuhic,920586585,"amigo ",3,brasileiro,,,+13085527460,Myra D'Amore
146,Dale Crona,910632799,colega de trabalho,2,Brasileiro,,,+19533841645,Candace Rowe
147,Perry Bednar,925689089,"Facebook ",3,brasileira,,len��is,+13777591774,Jimmie Beahan
148,Bridget Torphy,961066193,amigo,4,Brasileiro,,,+17278540125,Otis Mante
149,Jeannie Kilback,924882039,institui��o,4,brasileira,babycoc,"menina 2anos e gr�vida ",+14968722662,Flora Shanahan DVM
150,Howard Stokes,931183135,Amiga brasileira,,,computador e aspirador,,+14324980905,Krystal Kihn
151,Dr. Craig Nikolaus,,,1,Brasileiro,,,+12188848635,Bryant Hagenes PhD
152,Warren Howe,920129627,,,,,,+18912749918,Mildred Toy
153,Dr. Sally Cormier,929051052,"Sa de Miranda ",2,"Espanhol ",,,+12036892035,Dominick Kutch
154,Patrick McDermott,968557425,Ana Carolina,5,Uruguai,1 Cama solteiro estrato,,+13465425562,Franklin Smith
155,Antonio Miller,915770241,Facebook,5,"Brasileiros ","meninos 8, 12, 15",,+14502675853,Mr. Marcus Bashirian II
156,Mr. Rex Jones,920493584,amigo,3,brasileira,,,+19507903974,Sergio Swaniawski I
157,Simon Wolf,,,6,"Columbiana ",,,+18653740946,Deborah Blanda
158,Jessica Kirlin,929426766,Mila,4,"Brasileiro ",menino 7,,+13816883286,Ada Bogan
159,Mrs. Lori Leannon,931455846,namorado,2,peruana,,,+13745078364,Frederick Krajcik
160,Erika Hackett,966851057,amigos,3,"Brasileiros ",,,+13868947698,Ronnie Grimes
161,Charlie Corwin,910566522,Farhad,3,"brasileiro ",,12 anos e 22 anos,+13844531111,Miss Marianne Carter
162,Elbert Leannon,934844881,Mulher,3,"  Brasileiros",,,+12474420822,Pablo Torp
163,Lela Waelchi,933245903,amigo,2,brasileiro,,,+13163677618,Shari Russel
164,Grady Corkery,932746693,amigo,2,brasileiro,,,+12353510672,Cary Bogisich III
165,Otis Macejkovic,965173482,familiar,3,"brasileiro ",,roupas crian�a,+13396947435,Malcolm Donnelly
166,Lana Stamm,910134637,"amigo ",4,"colombiano ",,,+15375916719,Percy Okuneva Sr.
167,Rickey Renner,939424190,amigo,3,Portuguesa,,,+18406073811,Ernest Goldner
168,Troy Kreiger,915512998,Ana bravo,3,,,,+16338697922,Lorena Hahn
169,Dr. Devin Jaskolski,932218804,Amigas,1,Brasileiro,,,+14383788515,Jasmine Abshire
170,Patrick Bailey,931810163,primo,1,Peru,,,+14772428067,Joan Kemmer-Hermann
171,Jesse Collier,932048533,Redes Sociais,,,,,+15309175015,Samuel Macejkovic
172,Meghan Stoltenberg,962629510,,,,,,+13739505216,Antonia Barton
173,Moses Batz III,936799705,amigo,,,,,+17995079775,Lucille Johnson
174,Dr. Ira Cummings,932928757,,1,Brasileira,,,+16944051448,Pam Larson
175,Dr. Sherman Brown,915495109,Amigo,1,"Brasileiro ",,,+19143612659,Mitchell Little
176,Dr. Emily Gulgowski MD,910515359,Beneficiarios,3,Brasileiros,,,+18182372727,Lewis Sipes
177,Dr. Lance Olson Jr.,931923697,Amiga Ladi,1,Columbiana,,,+19167399494,Loretta Wyman
178,Mrs. Geraldine Schuster,914753515,Shopping,5,"Portugu�s ",,"girls 8, 19, 15",+15243161235,Arturo O'Reilly
179,Darla Hoeger,961432106,Amiga,5,Brasileira,,,+18844721689,Timothy Mohr
180,Michael Orn IV,918069936,Ucr�nia chat,3,"ucraniana ",,,+19167739179,Brent Gutmann
181,Jenny Leffler,914081609,Visita,1,Brasileira,,,+14338666600,Sophie Metz
182,Josephine VonRueden,911991285,amiga,3,brasileira,,,+15976600499,Cornelius Howe
183,Joey Hayes,911152743,Fabiano,3,Brasileira,,,+15193607025,Kirk Harvey
184,Jonathon Kozey,920330758,prima,2,,,,+12197149084,Velma Bahringer I
185,Marcus Durgan PhD,925561083,Amiga,3,Cuba,,Girl 6,+13244228103,Mrs. Joyce Raynor MD
186,Leslie Cronin,934983467,Primo,1,Peruano,,,+16139547751,Marian Johns
187,Monique Stroman,912287782,amigo,,,,,+14588278923,Carmen Wehner
188,Ben Kessler Sr.,,jaqueline,6,brasileira.,,,+13512435642,Douglas Lemke
189,Hubert Cronin,,filha de K37,,"brasileira ",,,+15043878348,Mr. Jonathan Daugherty
190,Kyle Carter,912913154,Amigo,4,"Brasileiro ",,"boy 10, 5, 8",+17927604543,Donald Langworth
191,Tricia Ernser,913073319,amigo,,,,,+18092458524,Elvira Bode
192,Irma Turcotte,911729551,Janaina,3,Brasileiro,,,+15536791988,Lula Morissette
193,Gilberto Daugherty,911729551,Janaina (igreja),,,,Avisados,+15665994326,Ms. Melinda Bailey
194,Doris Hintz IV,964918953,,2,"Brasileiro ",,,+15426130007,Miss Margarita Hudson
195,Marty Heathcote,913957849,,,,,Avisados,+14113130814,Emma Christiansen
196,Camille Upton,912298390,Janaina (igreja),,,,Avisados,+13249350328,Miss Raquel Hettinger
197,Emily Wisozk,926787027,amigo,1,"brasileiro ",,,+12946703572,Kellie Donnelly
198,Cassandra Hartmann,911930155,"farhad ",4,,,,+16505395175,Lynn Kutch
199,Ramon Ryan-Olson,963454721," VaP   K74",6,,,,+18007910480,Edmond King
200,Jaime Hintz,910799949,,1,"Brasileira ",,,+14288498652,Sally Grimes
201,Irving Herman-Zboncak,939988859,"grupo de redes sociais ",4,brasileira,,menina 9 e menino 3,+18942594441,Gregory Watsica
202,Cesar Bogan MD,911930155,Farhad,5,"Colombiano ",,,+13865337933,Mrs. Margarita Pfeffer
203,Michele Ankunding,920466577,Alberto Sampaio,6,Columbianos,,,+18542979533,Mrs. Opal Crooks IV
204,Phyllis Leuschke,920466577,escola sampaio,6,columbianos,,,+14325041092,Debra Hansen
205,Mr. Dale Jaskolski,936531083,Fahrad,5,"Colombiano ","1 cama de solteiro. Bairro da Alegria. ",,+13443307609,Nick Mayert
206,Kimberly Purdy,935098771,amiga,1,Angolano,,,+16869475425,Mrs. Denise Barton
207,Daniel Waters,965336800,Carla - Hostel,,,,,+17612503440,Darla Christiansen
208,Jake Pagac V,932703110,amigo,,,,,+12944574903,Miriam Kutch
209,Sharon Lehner,934849387,Amigos brasileiros,,Brasileiro,,,+19293504095,Ellis Blanda
210,Danny Cronin,910210559,amiga,4,brasileira,,menina 2 anos,+15855271515,Hilda Schmitt
211,Todd Block,933260575,"Irm� Jaqueline Ferreira ",3,Brasileira,,,+12097437577,Darin Homenick
212,Bethany Metz,963233857,Conhecido Igor,2,Brasileiros,,,+15418753875,Gina Schroeder
213,Lindsay Turner,912344256,amiga,3,brasileira,,,+12254226037,Edith Dach
214,Jeannie Larkin,962396955,,1,Peruano,,,+14829897135,Alyssa Macejkovic
215,Jesse Volkman,932334797,amigo,1,brasileiro,,,+19493982453,Della Mills IV
216,Adam Lesch,920465010,associa��o ADOLESCER,5,"angola ",,"3 crian�as: 10 anos, 7 anos e 4 anos",+18687916024,Angelo Kautzer
217,Marco Russel,919116901,amigo,1,"portugu�s ",,,+12945469961,Eula Abernathy-Barrows
218,Harry Jast,962165701,Amigo,4,"Portugu�s ",,,+12703123193,Mr. Ismael Hirthe
219,Darin Harvey,932703357,amigo,2,,,,+16635773848,Kara Lynch
220,Jake Lemke-Stokes,912770167,colega,2,Portuguesa,,,+14798375512,Adrienne Mayer
221,Camille DuBuque,912770167,colega,2,portuguesa,,,+15782906648,Yolanda Blick
222,Kimberly Mohr,,,,"brasileiros ",,,+13784587701,Gayle Morissette
223,Andrea Simonis-McKenzie,912380823,,,,,,+16814149560,Ignacio Schaefer
224,Lorenzo Hand,915513290,Loja da frente,1,"Brasileiro ",,,+16476504753,Norma Upton-Satterfield
225,Erica Brown DVM,939059814,,,,,,+15062934238,Marty Satterfield
226,Alex Moen I,927756053,Mila,2,"brasileiros ",,,+16097607255,Mrs. Kristina Johnston
227,Opal DuBuque,932693581,,3,Brasileiro,,,+15515055285,Frank Prohaska
228,Jesse Tillman,920144702,,3,"colombianos ",,,+18419418017,Mattie Frami
229,Mr. Marty Rogahn,935837916,Primo,1,Espanhol,,,+18348778123,Tasha Heathcote
230,Kathy Mosciski,935100076,Farhad curso Port,,,,,+17618720207,Corey Smitham PhD
231,Travis Kirlin Jr.,968893553,,2,Brasileiro,,,+15596931242,Wanda Murray
232,Lindsay Hoeger,932567294,"Tio ",1,Espanhol,,,+14875448369,Russell Reinger
233,Dr. Kurt Herman,965173492,Amiga Ladi,5,Brasileiro,,,+19847400242,Pauline Flatley
234,Mrs. Gladys Beer PhD,911936091,,3,Portuguesa,,,+18412386383,Viola Dickens
235,Erin Blick,671519209,amigo,1,espanhol,,,+17619626266,Bob Marquardt
236,Toni Smith,938161178,Amiga,3,,,,+15424129739,Toby Champlin
237,Jamie Purdy IV,912920934,"familiares ",4,Brasileiros,,,+13493463642,Dr. Timothy Bins
238,Terri Beatty-Parker,," Cunhado ",4,"Brasileira ",,,+14269710615,Dr. Courtney Batz
239,Nicole Price DVM,920338264,amigo,1,Nepal,"gr�vida ",,+18509964639,Jason Breitenberg
240,Mathew Herman,932763066,,1,peruano,,,+14146387979,Juanita Treutel
241,Rex Lebsack,967908339,"amigo ",1,"colombiano ",,,+15198799582,Lewis Reinger
242,Diane Hessel,910226262,"escola Sampaio ",3,"colombiano ",,,+15254226884,Patsy Gleason
243,Ms. Holly Kunze,937 099 326,VaP (Farhad e Sandra),2,"Brasileiros ",,gravida,+18476699924,Wilbur Brown
244,Miss Tracy Lemke Jr.,932746847,Amiga,2,"Brasileiros ",,,+15215380150,Blake West
245,Reginald Hoeger,920076268,"Amiga ",6,,,,+14943819653,Johnny Oberbrunner
246,Ms. Jane Torphy,915863514,"amigo ",1,brasileiro,,,+12803476827,Rogelio Dickens
247,Mr. Raymond Moore DDS,920193081,Prof. S� Miranda,1,Argelino,,,+13498492134,Lucia Reichel
248,Rudolph Lindgren Jr.,961679926,Grupo de whatsapp,2,columbiano,,,+17436245325,Sandra Koss
249,Darrin Jacobson V,938058436,Amiga,10,"Espanhola ",,,+16698114898,Lucas Barrows
250,Monica Dickens,935008954,Amiga,1,"Colombiana ",,,+17933151861,Gina Wilkinson DVM
251,Gertrude Osinski,931708084,amigos,3,brasileira,,,+17955870395,Ms. Antonia Russel
252,Kristie Von,964057587,K37,1,Brasileira,,,+17868843848,Mr. Henry Schaefer II
253,Elena Collins,922296503,amiga,4,brasileira,,,+12702259119,Samantha Batz
254,Miss Pearl Dickens,914443334,volunt�ria yudi,4,,,,+13622950568,Sandy Weimann
255,Irma Schroeder,935217367,"Facebook ",9," Brasileiros ",,,+18864592951,Jeff Huel
256,Chris Larson,963766512,VaP   -  K68,,,,,+13613326245,Daryl Kerluke
257,Gladys Skiles,963766512,Vira a P�gina,6,Brasileiros,,,+12997725102,Gwen Kuhlman
258,Gregg Bednar,960286477,Farhad,1,Gambiano,,"virar a p�gina ",+19284362441,Lillian Jacobson
259,Miss Genevieve Kulas,932763505,Facebook,2,Columbiano,,,+16229328043,Vincent Lindgren
260,Ms. Cora Abshire,925316276,,,Bangladesh,,,+17394008975,Diana Runte
261,Reginald Block,,amigo,4,angolana,,,+16238752982,Bernice Gleichner Sr.
262,Bruce Stokes,,Colega,,,,,+16707640633,Lowell Pacocha
263,Linda Pfannerstill,932365631,amiga,3,azerbaijan,,,+16738816671,Angel Quigley
264,Terence Howe I,935682604,,,Ucraniana,,,+15582435643,Amy Kuhic
265,Becky Quigley,924715355,Amiga,4,Colombiano,,boys 16 and 12,+15082159701,Mr. Dwayne Schaden-MacGyver
266,Dr. Martin Lowe I,920032240,amigos,4,Nepal,,,+12445723866,Wanda Konopelski-Reichel
267,Ida Dare,968853306,Colega,2,Guin�,,Menino 6,+12564399364,Hector Botsford
268,Javier Ankunding,968853306,amiga,2,"Guin� ",,menino 6,+12497718931,Shannon Botsford
269,Amy Borer,936979267,K37,5,Portuguesa,,boy 2 girl 10,+15846551535,Clarence Crist
270,Kerry Grant,927550404,Carla,,,,,+17897636848,Ernestine Runolfsson
271,Dr. Victor Friesen Jr.,912344253,amigo,1,brasileiro,,,+13795269546,Mr. Clay McKenzie
272,Richard Romaguera,912949985,Amigo,1,Peruano,,,+19442504571,Marcella Monahan
273,Brian Weissnat,934850280,,,,,,+15607423914,Israel Kovacek
274,Leroy Weimann,935354271,amiga,,,,,+14837029380,Dwayne Gottlieb
275,Marie Mante,927312164,"amiga ",3,Columbiana,,,+16676192455,Dr. Louis Rowe
276,Kathleen Harvey,931135060,Facebook,3,Columbian,,"Girl 10 ",+12057902008,Kelvin Abernathy
277,Penny Haag,931174050,"Assistente social ",4,,,4 sacos de roupa,+18307657282,Traci Bailey
278,Darrin Barrows,964663621,Amiga,5,"Espanhola ",,,+12825360337,Mr. Morris Pacocha-Yundt
279,Cesar Cruickshank,913480693,Farhad - Ucraniana,,Ucraniana,"Lencois de bebe, alimentacoes",Apulia - gravida,+17473587174,Kristina Schulist
280,Isabel Bogisich,912720490,Ucranian chat,,Ucraniana,,,+19833997937,Christie Hane
281,Alex Rosenbaum,967524751,grupo de whatsapp,4,"columbianos ",,meninos 3 anos e 7 anos,+14382362953,Flora Smitham
282,Virgil Batz,915471449,Carla - Hostel,,,,,+14124885826,Ashley Gutmann
283,Darin Heller,925689419,amiga,2,"brasileira ",,,+17768989925,Mrs. Susie Jacobson
284,Ellis Towne,931421176,amigo,,,,,+14934354019,Gregg Marks
